snapshot_date,store_id,sku_id,stock_level,reorder_point,days_of_supply,is_below_reorder,is_stockout_risk,overstock_flag,inventory_value
2023-01-01,STR-001,SKU-1000,675,55,76.1,0,0,0,1562571.0
2023-01-15,STR-001,SKU-1000,198,55,65.1,0,0,0,458354.16
2023-01-29,STR-001,SKU-1000,377,55,45.9,0,0,0,872724.84
2023-02-12,STR-001,SKU-1000,222,55,168.3,0,0,0,513912.24
2023-02-26,STR-001,SKU-1000,809,55,146.2,0,0,0,1872770.28
2023-03-12,STR-001,SKU-1000,94,55,14.5,0,0,0,217602.48
2023-03-26,STR-001,SKU-1000,669,55,127.3,0,0,0,1548681.48
2023-04-09,STR-001,SKU-1000,624,55,99.6,0,0,0,1444510.08
2023-04-23,STR-001,SKU-1000,68,55,8.6,0,0,0,157414.56
2023-05-07,STR-001,SKU-1000,528,55,85.4,0,0,0,1222277.76
2023-05-21,STR-001,SKU-1000,864,55,135.4,0,0,1,2000090.88
2023-06-04,STR-001,SKU-1000,59,55,8.6,0,0,0,136580.28
2023-06-18,STR-001,SKU-1000,50,55,8.0,1,0,0,115746.0
2023-07-02,STR-001,SKU-1000,368,55,55.3,0,0,0,851890.56
2023-07-16,STR-001,SKU-1000,595,55,97.6,0,0,0,1377377.4
2023-07-30,STR-001,SKU-1000,598,55,131.4,0,0,0,1384322.16
2023-08-13,STR-001,SKU-1000,907,55,89.7,0,0,1,2099632.44
2023-08-27,STR-001,SKU-1000,457,55,173.5,0,0,0,1057918.44
2023-09-10,STR-001,SKU-1000,498,55,49.4,0,0,0,1152830.16
2023-09-24,STR-001,SKU-1000,196,55,24.3,0,0,0,453724.32
2023-10-08,STR-001,SKU-1000,50,55,46.6,1,0,0,115746.0
2023-10-22,STR-001,SKU-1000,194,55,69.9,0,0,0,449094.48
2023-11-05,STR-001,SKU-1000,189,55,16.3,0,0,0,437519.88
2023-11-19,STR-001,SKU-1000,927,55,98.3,0,0,1,2145930.84
2023-12-03,STR-001,SKU-1000,641,55,60.1,0,0,0,1483863.72
2023-12-17,STR-001,SKU-1000,451,55,64.5,0,0,0,1044028.92
2023-12-31,STR-001,SKU-1000,312,55,68.0,0,0,0,722255.04
2024-01-14,STR-001,SKU-1000,582,55,56.1,0,0,0,1347283.44
2024-01-28,STR-001,SKU-1000,798,55,135.5,0,0,0,1847306.16
2024-02-11,STR-001,SKU-1000,336,55,122.4,0,0,0,777813.12
2024-02-25,STR-001,SKU-1000,3,55,0.4,1,1,0,6944.76
2024-03-10,STR-001,SKU-1000,260,55,44.1,0,0,0,601879.2
2024-03-24,STR-001,SKU-1000,76,55,18.0,0,0,0,175933.92
2024-04-07,STR-001,SKU-1000,172,55,18.0,0,0,0,398166.24
2024-04-21,STR-001,SKU-1000,956,55,138.4,0,0,1,2213063.52
2024-05-05,STR-001,SKU-1000,534,55,45.6,0,0,0,1236167.28
2024-05-19,STR-001,SKU-1000,449,55,38.1,0,0,0,1039399.08
2024-06-02,STR-001,SKU-1000,88,55,7.6,0,0,0,203712.96
2024-06-16,STR-001,SKU-1000,913,55,240.0,0,0,1,2113521.96
2024-06-30,STR-001,SKU-1000,692,55,352.5,0,0,0,1601924.64
2023-01-01,STR-001,SKU-1001,287,95,233.8,0,0,0,115170.23
2023-01-15,STR-001,SKU-1001,422,95,74.8,0,0,0,169344.38
2023-01-29,STR-001,SKU-1001,274,95,38.0,0,0,0,109953.46
2023-02-12,STR-001,SKU-1001,463,95,62.1,0,0,0,185797.27
2023-02-26,STR-001,SKU-1001,165,95,17.5,0,0,0,66212.85
2023-03-12,STR-001,SKU-1001,502,95,256.7,0,0,0,201447.58
2023-03-26,STR-001,SKU-1001,121,95,11.5,0,0,0,48556.09
2023-04-09,STR-001,SKU-1001,253,95,28.0,0,0,0,101526.37
2023-04-23,STR-001,SKU-1001,130,95,14.9,0,0,0,52167.7
2023-05-07,STR-001,SKU-1001,514,95,120.3,0,0,1,206263.06
2023-05-21,STR-001,SKU-1001,529,95,151.3,0,0,1,212282.41
2023-06-04,STR-001,SKU-1001,433,95,43.9,0,0,0,173758.57
2023-06-18,STR-001,SKU-1001,359,95,46.6,0,0,0,144063.11
2023-07-02,STR-001,SKU-1001,340,95,54.6,0,0,0,136438.6
2023-07-16,STR-001,SKU-1001,250,95,38.4,0,0,0,100322.5
2023-07-30,STR-001,SKU-1001,66,95,6.6,1,0,0,26485.14
2023-08-13,STR-001,SKU-1001,264,95,58.7,0,0,0,105940.56
2023-08-27,STR-001,SKU-1001,6,95,2.2,1,1,0,2407.74
2023-09-10,STR-001,SKU-1001,282,95,31.3,0,0,0,113163.78
2023-09-24,STR-001,SKU-1001,321,95,41.9,0,0,0,128814.09
2023-10-08,STR-001,SKU-1001,329,95,194.3,0,0,0,132024.41
2023-10-22,STR-001,SKU-1001,71,95,7.2,1,0,0,28491.59
2023-11-05,STR-001,SKU-1001,83,95,8.3,1,0,0,33307.07
2023-11-19,STR-001,SKU-1001,239,95,28.6,0,0,0,95908.31
2023-12-03,STR-001,SKU-1001,310,95,192.4,0,0,0,124399.9
2023-12-17,STR-001,SKU-1001,464,95,194.4,0,0,0,186198.56
2023-12-31,STR-001,SKU-1001,455,95,41.4,0,0,0,182586.95
2024-01-14,STR-001,SKU-1001,387,95,89.1,0,0,0,155299.23
2024-01-28,STR-001,SKU-1001,258,95,41.7,0,0,0,103532.82
2024-02-11,STR-001,SKU-1001,368,95,45.1,0,0,0,147674.72
2024-02-25,STR-001,SKU-1001,178,95,33.6,0,0,0,71429.62
2024-03-10,STR-001,SKU-1001,270,95,27.0,0,0,0,108348.3
2024-03-24,STR-001,SKU-1001,149,95,61.3,0,0,0,59792.21
2024-04-07,STR-001,SKU-1001,15,95,2.2,1,1,0,6019.35
2024-04-21,STR-001,SKU-1001,485,95,51.0,0,0,0,194625.65
2024-05-05,STR-001,SKU-1001,146,95,103.5,0,0,0,58588.34
2024-05-19,STR-001,SKU-1001,369,95,71.7,0,0,0,148076.01
2024-06-02,STR-001,SKU-1001,38,95,5.2,1,1,0,15249.02
2024-06-16,STR-001,SKU-1001,412,95,46.5,0,0,0,165331.48
2024-06-30,STR-001,SKU-1001,56,95,38.0,1,0,0,22472.24
2023-01-01,STR-001,SKU-1002,1227,91,157.0,0,0,0,1000287.21
2023-01-15,STR-001,SKU-1002,1383,91,429.9,0,0,0,1127463.09
2023-01-29,STR-001,SKU-1002,537,91,111.4,0,0,0,437778.51
2023-02-12,STR-001,SKU-1002,1423,91,132.4,0,0,0,1160072.29
2023-02-26,STR-001,SKU-1002,1666,91,580.9,0,0,0,1358173.18
2023-03-12,STR-001,SKU-1002,86,91,27.4,1,0,0,70109.78
2023-03-26,STR-001,SKU-1002,480,91,90.6,0,0,0,391310.4
2023-04-09,STR-001,SKU-1002,863,91,125.1,0,0,0,703543.49
2023-04-23,STR-001,SKU-1002,1041,91,310.6,0,0,0,848654.43
2023-05-07,STR-001,SKU-1002,385,91,91.1,0,0,0,313863.55
2023-05-21,STR-001,SKU-1002,1377,91,359.5,0,0,0,1122571.71
2023-06-04,STR-001,SKU-1002,428,91,74.7,0,0,0,348918.44
2023-06-18,STR-001,SKU-1002,188,91,15.9,0,0,0,153263.24
2023-07-02,STR-001,SKU-1002,643,91,55.4,0,0,0,524192.89
2023-07-16,STR-001,SKU-1002,950,91,84.9,0,0,0,774468.5
2023-07-30,STR-001,SKU-1002,887,91,124.4,0,0,0,723109.01
2023-08-13,STR-001,SKU-1002,1154,91,107.1,0,0,0,940775.42
2023-08-27,STR-001,SKU-1002,83,91,14.0,1,0,0,67664.09
2023-09-10,STR-001,SKU-1002,1268,91,153.0,0,0,0,1033711.64
2023-09-24,STR-001,SKU-1002,1479,91,333.2,0,0,0,1205725.17
2023-10-08,STR-001,SKU-1002,718,91,100.0,0,0,0,585335.14
2023-10-22,STR-001,SKU-1002,1008,91,185.9,0,0,0,821751.84
2023-11-05,STR-001,SKU-1002,1423,91,156.7,0,0,0,1160072.29
2023-11-19,STR-001,SKU-1002,1219,91,362.3,0,0,0,993765.37
2023-12-03,STR-001,SKU-1002,817,91,85.0,0,0,0,666042.91
2023-12-17,STR-001,SKU-1002,1941,91,558.2,0,0,1,1582361.43
2023-12-31,STR-001,SKU-1002,1708,91,285.7,0,0,0,1392412.84
2024-01-14,STR-001,SKU-1002,297,91,86.6,0,0,0,242123.31
2024-01-28,STR-001,SKU-1002,1492,91,933.0,0,0,0,1216323.16
2024-02-11,STR-001,SKU-1002,1199,91,283.0,0,0,0,977460.77
2024-02-25,STR-001,SKU-1002,202,91,25.2,0,0,0,164676.46
2024-03-10,STR-001,SKU-1002,1254,91,131.1,0,0,0,1022298.42
2024-03-24,STR-001,SKU-1002,1056,91,802.0,0,0,0,860882.88
2024-04-07,STR-001,SKU-1002,1106,91,117.3,0,0,0,901644.38
2024-04-21,STR-001,SKU-1002,494,91,46.9,0,0,0,402723.62
2024-05-05,STR-001,SKU-1002,447,91,138.7,0,0,0,364407.81
2024-05-19,STR-001,SKU-1002,1272,91,126.1,0,0,0,1036972.56
2024-06-02,STR-001,SKU-1002,1305,91,647.3,0,0,0,1063875.15
2024-06-16,STR-001,SKU-1002,893,91,326.8,0,0,0,728000.39
